x,y,z,vx,vy,vz
37.658726,770.244446,249.479202,-8.731265,3.502011,10.071648
51.74461,791.845581,333.494873,-6.505647,6.856234,8.525576
68.037041,807.824951,403.018616,-4.148167,9.489569,5.217315
77.34642,812.007874,474.416687,-2.321883,10.402066,0.871082
80.257584,793.552002,561.259583,-2.115952,6.764973,-1.02923
79.905632,766.68219,645.594788,-2.199651,1.952015,-2.739331
86.957977,742.748108,709.50354,-1.67794,-1.009975,-6.57627
89.113686,743.900208,778.651001,-1.716447,-1.606987,-10.571622
69.213364,746.658203,868.158569,-4.24356,-1.163208,-12.116817
38.845425,746.384644,968.876404,-8.344189,-0.670571,-10.01688
17.326792,745.586731,1090.249146,-12.27616,-0.396765,-5.070293
9.356098,747.369019,1215.76355,-13.594174,-0.171524,-0.699899
16.802273,749.252625,1329.253052,-12.35141,-0.167547,1.811332
33.785175,754.429932,1440.790771,-10.066046,0.555759,5.030791
45.607399,863.99762,54.916775,-8.018199,3.228242,8.966855
48.124187,876.484741,158.315765,-7.250465,4.989044,11.240993
59.202419,882.488281,262.86673,-5.150092,6.328343,12.629858
78.477982,889.850159,348.503937,-2.124187,8.109127,11.105247
95.251793,896.777161,412.837158,0.350729,9.661408,6.559977
102.715874,903.3526,468.304718,1.881066,10.40747,-0.287185
103.331512,885.59259,537.812744,1.517919,7.319436,-5.011577
101.342812,858.334656,618.942322,0.936127,2.887407,-6.97932
95.647247,837.854919,695.848022,-0.147736,-0.632542,-9.123637
82.612175,836.599609,778.16803,-2.205915,-1.742529,-11.29423
58.954842,836.122681,865.915405,-5.697109,-1.490287,-11.90018
29.256964,836.274841,967.910278,-9.995809,-0.955208,-9.813905
11.219835,840.559937,1092.474854,-13.279211,-0.342885,-4.757209
13.309849,843.99939,1217.156372,-12.959691,-0.046848,-0.581509
21.043344,845.535156,1331.708252,-11.720686,0.23601,2.222144
38.620045,851.064453,1447.643921,-9.329291,1.29733,6.059397
57.118496,973.534973,69.895592,-6.506011,6.139053,11.337699
63.208977,980.640503,166.959381,-5.0563,7.289066,12.592382
80.349777,977.290161,263.212769,-1.969713,6.986094,13.352374
103.991364,970.696472,349.02594,1.809724,6.83271,11.976685
120.56324,973.93573,414.703552,4.053537,7.205457,6.665706
120.887978,970.408447,463.113617,4.656243,6.902972,-1.184648
117.814804,958.849182,518.587158,4.195831,4.897046,-7.600882
119.019226,939.051575,597.053467,3.630261,1.704362,-10.853795
106.920425,923.003906,686.252197,1.752768,-1.569937,-11.445151
